BehaviorSpace results (NetLogo 6.1.1),,,,,,,
PingModel.nlogo,,,,,,,
experiment,,,,,,,
03/03/2021 14:45:04:878 -0700,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,
-50,50,-50,50,,,,
[run number],surface-tension,sustain,dis,[step],mag,,
365,78,0.992,10,60,3.611281578,,
366,78,0.992,20,60,0.959946973,,
367,78,0.993,10,60,3.723027106,,
368,78,0.993,20,60,0.989211612,,
369,78,0.994,10,60,3.83676772,,
370,78,0.994,20,60,1.019258974,,
371,78,0.995,10,60,3.952494819,,
372,78,0.995,20,60,1.050108208,,
373,78,0.996,10,60,4.070197808,,
374,78,0.996,20,60,1.081778937,,
375,78,0.997,10,60,4.189864028,,
376,78,0.997,20,60,1.114291276,,
378,78,0.998,20,60,1.147665848,,
377,78,0.998,10,60,4.311478687,,
379,78,0.999,10,60,4.435024794,,
380,78,0.999,20,60,1.181923797,,
381,79,0.99,10,60,3.265930246,,
382,79,0.99,20,60,0.893261054,,
383,79,0.991,10,60,3.335134365,,
384,79,0.991,20,60,0.917880861,,
385,79,0.992,10,60,3.404485999,,
386,79,0.992,20,60,0.943086876,,
387,79,0.993,10,60,3.473925482,,
388,79,0.993,20,60,0.968891472,,
389,79,0.994,10,60,3.543390365,,
390,79,0.994,20,60,0.995307298,,
391,79,0.995,10,60,3.612815357,,
392,79,0.995,20,60,1.022347287,,
393,79,0.996,10,60,3.682132259,,
395,79,0.997,10,60,3.75126991,,
394,79,0.996,20,60,1.05002467,,
396,79,0.997,20,60,1.078352982,,
397,79,0.998,10,60,3.820154119,,
398,79,0.998,20,60,1.107346076,,
399,79,0.999,10,60,3.888707609,,
400,79,0.999,20,60,1.137018134,,
401,80,0.99,10,60,3.358102533,,
402,80,0.99,20,60,0.8989014,,
403,80,0.991,10,60,3.473214419,,
404,80,0.991,20,60,0.926776445,,
405,80,0.992,10,60,3.590881794,,
406,80,0.992,20,60,0.955417886,,
407,80,0.993,10,60,3.711119387,,
408,80,0.993,20,60,0.984845195,,
410,80,0.994,20,60,1.015078355,,
409,80,0.994,10,60,3.833940313,,
411,80,0.995,10,60,3.959356004,,
412,80,0.995,20,60,1.046137878,,
413,80,0.996,10,60,4.087376121,,
414,80,0.996,20,60,1.078044823,,
415,80,0.997,10,60,4.218008476,,
416,80,0.997,20,60,1.110820815,,
417,80,0.998,10,60,4.351258951,,
418,80,0.998,20,60,1.144488063,,
419,80,0.999,10,60,4.487131408,,
420,80,0.999,20,60,1.179069382,,
421,81,0.99,10,60,3.464883597,,
422,81,0.99,20,60,0.820187153,,
423,81,0.991,10,60,3.565011456,,
424,81,0.991,20,60,0.840711975,,
425,81,0.992,10,60,3.666760872,,
427,81,0.993,10,60,3.770111793,,
426,81,0.992,20,60,0.86357085,,
428,81,0.993,20,60,0.893709061,,
429,81,0.994,10,60,3.875041641,,
430,81,0.994,20,60,0.924782209,,
431,81,0.995,10,60,3.981525218,,
432,81,0.995,20,60,0.9568174,,
433,81,0.996,10,60,4.089534614,,
434,81,0.996,20,60,0.989842545,,
435,81,0.997,10,60,4.199039106,,
436,81,0.997,20,60,1.023886382,,
437,81,0.998,10,60,4.310005067,,
438,81,0.998,20,60,1.05897851,,
439,81,0.999,10,60,4.422395862,,
440,81,0.999,20,60,1.095149412,,
441,82,0.99,10,60,2.646692197,,
442,82,0.99,20,60,0.818655118,,
444,82,0.991,20,60,0.839912197,,
443,82,0.991,10,60,2.69737124,,
445,82,0.992,10,60,2.748586094,,
446,82,0.992,20,60,0.861733716,,
447,82,0.993,10,60,2.800330833,,
448,82,0.993,20,60,0.88413517,,
449,82,0.994,10,60,2.852599095,,
450,82,0.994,20,60,0.907132495,,
451,82,0.995,10,60,2.905384078,,
452,82,0.995,20,60,0.930742081,,
453,82,0.996,10,60,2.958678523,,
454,82,0.996,20,60,0.954980787,,
455,82,0.997,10,60,3.012474712,,
456,82,0.997,20,60,0.979865954,,
457,82,0.998,10,60,3.066764454,,
458,82,0.998,20,60,1.005415417,,
459,82,0.999,10,60,3.121539079,,
461,83,0.99,10,60,2.677881604,,
460,82,0.999,20,60,1.031647523,,
462,83,0.99,20,60,0.805243938,,
463,83,0.991,10,60,2.742808687,,
464,83,0.991,20,60,0.826948426,,
465,83,0.992,10,60,2.808899309,,
466,83,0.992,20,60,0.849249041,,
467,83,0.993,10,60,2.876165445,,
468,83,0.993,20,60,0.872162605,,
469,83,0.994,10,60,2.944619004,,
470,83,0.994,20,60,0.895706428,,
471,83,0.995,10,60,3.014271815,,
